time_iso8601,DE-SH,DE-HH,DE-NI,DE-HB,DE-NW,DE-HE,DE-RP,DE-BW,DE-BY,DE-SL,DE-BB,DE-MV,DE-SN,DE-ST,DE-TH,DE-BE,sum_deaths
2020-03-25T17:00:00+0000,25,28,48,2,238,32,24,281,309,16,6,2,24,16,10,19,1080
2020-03-26T17:00:00+0000,29,34,59,4,276,44,30,354,402,18,8,2,28,18,12,23,1341
2020-03-27T17:00:00+0000,31,43,95,5,321,59,36,404,472,21,13,3,35,21,16,28,1603
2020-03-28T17:00:00+0000,32,53,124,5,359,66,43,462,561,23,13,5,38,21,17,31,1853
2020-03-29T17:00:00+0000,34,54,139,5,400,77,46,493,608,28,13,5,39,21,18,35,2015
2020-03-30T17:00:00+0000,39,58,159,7,443,88,54,551,680,32,25,5,50,28,19,39,2277
2020-03-31T17:00:00+0000,44,66,174,8,502,101,65,635,810,45,33,7,67,28,22,42,2649
2020-04-01T17:00:00+0000,51,74,195,9,585,125,74,723,917,49,40,10,71,28,24,50,3025
2020-04-02T17:00:00+0000,55,87,217,10,650,148,76,821,1046,65,49,13,89,29,28,57,3440
2020-04-03T17:00:00+0000,62,108,248,15,721,159,91,899,1140,67,64,13,106,30,32,74,3829
2020-04-04T17:00:00+0000,65,114,268,16,761,177,95,942,1223,78,66,13,114,31,35,76,4074
2020-04-05T17:00:00+0000,66,122,277,16,808,182,98,976,1274,86,69,13,117,31,40,81,4256
2020-04-06T17:00:00+0000,71,133,303,16,881,203,107,1020,1344,93,75,13,122,32,42,90,4545
2020-04-07T17:00:00+0000,82,156,322,18,936,221,119,1072,1440,97,83,16,128,34,50,105,4879
2020-04-08T17:00:00+0000,87,165,348,18,1012,240,130,1142,1530,108,86,16,135,34,53,111,5215
2020-04-09T17:00:00+0000,92,168,366,20,1068,272,141,1208,1618,114,96,16,142,36,59,121,5537
2020-04-10T17:00:00+0000,93,169,382,21,1106,287,148,1249,1676,121,98,17,149,37,66,126,5745
2020-04-11T17:00:00+0000,96,173,391,23,1142,302,154,1285,1747,122,103,17,156,38,70,127,5946
2020-04-12T17:00:00+0000,96,181,403,23,1173,314,157,1330,1790,122,109,17,159,39,75,127,6115
2020-04-13T17:00:00+0000,108,187,414,26,1196,325,161,1363,1835,125,109,17,165,40,77,130,6278
2020-04-14T17:00:00+0000,109,195,433,26,1247,340,169,1392,1904,127,111,18,169,40,85,131,6496
2020-04-15T17:00:00+0000,112,200,454,27,1286,353,175,1437,1974,132,120,18,171,40,90,133,6722
2020-04-16T17:00:00+0000,115,209,465,28,1321,368,182,1470,2029,136,125,18,176,42,91,136,6911
2020-04-17T17:00:00+0000,118,218,476,29,1355,378,189,1499,2081,138,125,18,181,43,94,142,7084
2020-04-18T17:00:00+0000,120,219,483,29,1379,390,193,1520,2115,140,129,19,181,44,98,146,7205
2020-04-19T17:00:00+0000,121,221,492,29,1405,400,194,1546,2154,140,131,19,181,44,99,147,7323
2020-04-20T17:00:00+0000,125,224,504,29,1441,408,197,1566,2186,142,140,19,185,46,106,149,7467
2020-04-21T17:00:00+0000,127,227,515,33,1466,417,202,1587,2222,147,144,19,190,47,110,151,7604
2020-04-22T17:00:00+0000,132,229,522,33,1484,429,210,1609,2258,153,145,19,190,47,113,158,7731
2020-04-23T17:00:00+0000,134,237,533,33,1498,437,211,1631,2295,155,148,19,192,49,115,160,7847
2020-04-24T17:00:00+0000,136,238,540,33,1505,443,216,1647,2319,158,150,19,196,51,117,163,7931
2020-04-25T17:00:00+0000,138,242,543,33,1516,447,216,1669,2337,158,151,20,196,53,120,169,8008
2020-04-26T17:00:00+0000,139,244,545,33,1519,450,216,1673,2348,158,151,20,196,53,121,170,8036
2020-04-27T17:00:00+0000,140,247,555,33,1531,452,218,1677,2370,158,154,20,198,53,124,180,8110
2020-04-28T17:00:00+0000,140,248,562,36,1545,456,222,1687,2388,158,156,20,199,53,132,187,8189
2020-04-29T17:00:00+0000,140,250,570,36,1551,457,224,1701,2406,159,157,20,202,53,135,187,8248
2020-04-30T17:00:00+0000,141,251,577,36,1563,463,226,1711,2417,160,159,20,204,54,143,191,8316
2020-05-01T17:00:00+0000,142,251,577,36,1575,465,226,1719,2438,160,160,20,204,54,143,191,8361
2020-05-02T17:00:00+0000,144,251,577,36,1579,466,226,1729,2445,162,160,20,205,55,147,193,8395
2020-05-03T17:00:00+0000,144,251,577,36,1584,467,226,1732,2449,162,160,20,205,55,148,194,8410
2020-05-04T17:00:00+0000,144,255,585,36,1590,470,229,1735,2456,163,162,20,205,56,150,194,8450
2020-05-05T17:00:00+0000,144,257,591,37,1599,472,230,1741,2464,164,162,20,209,57,151,195,8493
2020-05-06T17:00:00+0000,144,258,593,37,1606,475,230,1748,2476,165,162,20,209,57,156,196,8532
2020-05-07T17:00:00+0000,145,259,594,38,1615,479,233,1754,2491,165,163,20,209,58,160,197,8580
2020-05-08T17:00:00+0000,146,259,597,40,1618,485,233,1766,2503,166,163,20,210,58,160,197,8621
2020-05-09T17:00:00+0000,146,259,599,41,1625,486,233,1771,2507,166,163,20,210,59,161,198,8644
2020-05-10T17:00:00+0000,147,259,600,42,1627,486,234,1772,2513,166,163,20,210,59,162,198,8658
2020-05-11T17:00:00+0000,148,260,601,42,1629,489,234,1774,2522,166,163,20,211,59,163,200,8681
2020-05-12T17:00:00+0000,148,260,605,42,1634,493,235,1780,2530,167,163,20,211,59,163,201,8711
2020-05-13T17:00:00+0000,148,260,609,43,1640,494,235,1784,2537,167,164,20,212,59,164,201,8737
2020-05-14T17:00:00+0000,148,261,610,43,1644,494,235,1790,2541,167,164,20,213,59,166,202,8757
2020-05-15T17:00:00+0000,148,261,612,43,1649,498,236,1794,2550,168,164,20,215,59,168,202,8787
2020-05-16T17:00:00+0000,148,261,613,45,1652,499,236,1796,2556,168,164,20,217,59,169,202,8805
2020-05-17T17:00:00+0000,148,262,614,45,1653,501,236,1796,2558,168,164,20,217,59,170,202,8813
2020-05-18T17:00:00+0000,148,262,616,45,1656,502,236,1805,2562,168,164,20,217,59,171,203,8834
2020-05-19T17:00:00+0000,149,262,621,46,1657,502,236,1814,2566,169,164,20,218,60,171,206,8861
2020-05-20T17:00:00+0000,149,262,622,46,1662,504,236,1818,2573,169,164,20,219,60,172,207,8883
2020-05-21T17:00:00+0000,149,262,622,46,1662,505,236,1820,2575,169,164,20,220,60,172,208,8890
2020-05-22T17:00:00+0000,150,262,625,46,1665,505,236,1821,2579,169,164,20,220,60,173,208,8903
2020-05-23T17:00:00+0000,150,262,626,46,1665,508,236,1824,2581,169,164,20,220,60,174,208,8913
2020-05-24T17:00:00+0000,150,262,626,46,1668,509,236,1824,2581,169,164,20,221,60,174,208,8918
2020-05-25T17:00:00+0000,150,262,627,47,1672,509,236,1825,2584,169,164,20,222,60,176,208,8931
2020-05-26T17:00:00+0000,150,262,629,47,1675,509,236,1828,2589,169,164,20,223,60,177,208,8946
2020-05-27T17:00:00+0000,150,262,629,47,1678,509,236,1829,2592,171,165,20,224,60,177,208,8957
2020-05-28T17:00:00+0000,150,262,630,47,1681,509,236,1831,2592,171,166,20,224,60,178,208,8965
2020-05-29T17:00:00+0000,152,262,631,47,1682,509,236,1832,2593,172,166,20,224,60,178,208,8972
2020-05-30T17:00:00+0000,152,262,632,47,1682,509,236,1832,2593,172,166,20,224,60,181,208,8976
2020-05-31T17:00:00+0000,152,262,632,47,1682,509,236,1832,2594,172,166,20,224,60,182,208,8978
2020-06-01T17:00:00+0000,152,262,632,48,1683,510,236,1832,2595,173,166,20,224,60,182,208,8983
2020-06-02T17:00:00+0000,152,262,632,49,1685,510,236,1833,2596,173,166,20,224,60,182,209,8989
2020-06-03T17:00:00+0000,152,262,633,50,1686,510,237,1836,2599,173,166,20,224,60,182,210,9000
2020-06-04T17:00:00+0000,152,262,634,50,1687,511,237,1839,2600,173,166,20,224,60,182,210,9007
2020-06-05T17:00:00+0000,152,262,634,50,1689,511,237,1839,2601,173,167,20,225,60,182,211,9013
2020-06-06T17:00:00+0000,152,262,634,50,1691,511,237,1839,2602,173,167,20,225,60,183,211,9017
2020-06-07T17:00:00+0000,152,262,634,50,1691,511,237,1840,2605,173,167,20,225,60,183,211,9021
2020-06-08T17:00:00+0000,152,262,635,50,1693,511,237,1840,2605,173,167,20,225,60,183,211,9024
2020-06-09T17:00:00+0000,152,262,635,50,1694,511,237,1840,2605,173,167,20,225,60,183,211,9025
2020-06-10T17:00:00+0000,152,262,636,50,1695,513,237,1841,2606,173,167,20,225,61,184,212,9034
2020-06-11T17:00:00+0000,152,262,636,50,1695,513,237,1842,2606,173,167,20,225,61,184,212,9035
2020-06-12T17:00:00+0000,153,262,640,51,1695,513,237,1842,2608,173,167,20,225,62,184,213,9045
2020-06-13T17:00:00+0000,153,262,640,51,1696,513,237,1842,2608,173,167,20,225,62,184,213,9046
2020-06-14T17:00:00+0000,153,262,640,52,1701,513,237,1842,2608,173,167,20,225,62,184,213,9052
2020-06-15T17:00:00+0000,153,262,641,52,1703,513,237,1842,2609,173,167,20,225,62,184,213,9056
2020-06-16T17:00:00+0000,153,262,642,52,1708,514,237,1843,2611,173,167,20,225,62,184,213,9066
2020-06-17T17:00:00+0000,153,262,646,52,1709,514,237,1843,2611,173,167,20,225,62,184,213,9071
2020-06-18T17:00:00+0000,153,262,647,52,1709,514,237,1843,2612,173,167,20,225,62,184,213,9073
2020-06-19T17:00:00+0000,153,262,647,55,1709,516,237,1843,2612,173,167,20,225,62,184,214,9079
2020-06-20T17:00:00+0000,153,262,647,55,1712,516,237,1843,2612,173,167,20,225,62,184,214,9082
2020-06-21T17:00:00+0000,153,262,647,55,1712,516,238,1844,2613,173,167,20,225,62,184,214,9085
2020-06-22T17:00:00+0000,153,262,647,55,1713,516,238,1844,2613,174,167,20,225,62,184,214,9087
2020-06-23T17:00:00+0000,153,262,648,55,1715,516,238,1844,2616,174,167,20,225,62,184,214,9093
2020-06-24T17:00:00+0000,153,262,648,55,1716,516,238,1844,2617,174,167,20,225,62,184,214,9095
2020-06-25T17:00:00+0000,154,262,648,55,1716,516,238,1845,2619,174,167,20,225,62,184,215,9100
2020-06-26T17:00:00+0000,154,262,650,55,1717,516,238,1846,2619,174,167,20,225,62,184,215,9104
2020-06-27T17:00:00+0000,154,262,650,55,1718,516,238,1846,2620,174,167,20,225,62,184,215,9106
2020-06-28T17:00:00+0000,154,262,650,55,1718,516,238,1846,2620,174,167,20,225,62,184,215,9106
2020-06-29T17:00:00+0000,154,262,651,55,1718,516,238,1846,2620,174,167,20,225,62,184,218,9110
2020-06-30T17:00:00+0000,154,262,651,55,1718,516,238,1846,2620,174,167,20,225,62,184,219,9111
2020-07-01T17:00:00+0000,154,262,651,55,1719,516,238,1847,2621,174,167,20,225,62,184,220,9115
2020-07-02T17:00:00+0000,154,262,652,55,1720,516,238,1847,2621,174,168,20,225,62,184,221,9119
2020-07-03T17:00:00+0000,154,262,652,55,1725,517,238,1847,2621,174,168,20,225,62,184,221,9125
2020-07-04T17:00:00+0000,154,262,652,55,1725,517,238,1848,2621,174,168,20,225,62,184,221,9126
2020-07-05T17:00:00+0000,154,263,653,55,1726,517,238,1848,2621,174,168,20,225,62,184,221,9129
2020-07-06T17:00:00+0000,154,263,653,55,1728,517,238,1848,2621,174,168,20,225,62,184,223,9133
2020-07-07T17:00:00+0000,154,263,653,55,1731,517,238,1849,2621,174,168,20,225,62,184,223,9137
2020-07-08T17:00:00+0000,155,263,654,55,1734,517,238,1849,2622,174,168,20,225,62,184,223,9143
2020-07-09T17:00:00+0000,155,263,654,55,1736,518,239,1849,2623,174,168,20,225,62,184,223,9148
2020-07-10T17:00:00+0000,155,263,654,55,1738,518,239,1849,2623,174,168,20,225,62,184,224,9151
2020-07-11T17:00:00+0000,155,263,654,55,1738,518,239,1849,2623,174,168,20,225,62,184,224,9151
2020-07-12T17:00:00+0000,155,263,654,55,1738,518,239,1849,2623,174,168,20,225,62,184,224,9151
2020-07-13T17:00:00+0000,156,263,654,55,1741,518,239,1849,2624,174,168,20,225,62,184,224,9156
2020-07-14T17:00:00+0000,156,263,654,55,1742,518,239,1849,2624,174,168,20,225,62,184,224,9157
2020-07-15T17:00:00+0000,156,263,654,55,1743,519,239,1852,2625,174,168,20,225,62,184,224,9163
2020-07-16T17:00:00+0000,156,263,654,55,1746,519,239,1852,2627,174,168,20,225,62,184,224,9168
2020-07-17T17:00:00+0000,157,263,654,56,1747,519,240,1852,2627,174,168,20,225,63,184,224,9173
2020-07-18T17:00:00+0000,157,263,654,56,1747,519,240,1852,2627,174,168,20,225,63,184,224,9173
2020-07-19T17:00:00+0000,157,263,654,56,1748,519,240,1853,2628,174,168,20,225,63,184,224,9176
2020-07-20T17:00:00+0000,157,263,654,56,1749,520,240,1854,2628,174,168,20,225,63,184,224,9179
2020-07-21T17:00:00+0000,157,264,654,56,1750,521,240,1854,2629,174,168,20,225,63,184,224,9183
2020-07-22T17:00:00+0000,157,264,654,56,1751,522,240,1857,2629,174,168,20,225,64,184,224,9189
2020-07-23T17:00:00+0000,157,264,654,56,1752,522,241,1857,2629,174,168,20,225,64,184,224,9191
2020-07-24T17:00:00+0000,157,264,655,56,1756,523,241,1858,2629,174,168,20,225,64,184,224,9198
2020-07-25T17:00:00+0000,157,264,655,56,1757,523,241,1859,2629,174,168,20,225,64,184,224,9200
2020-07-26T17:00:00+0000,157,264,655,56,1757,523,241,1859,2629,174,168,20,225,64,184,224,9200
2020-07-27T17:00:00+0000,158,264,655,56,1760,524,241,1859,2629,174,168,20,225,64,184,224,9205
2020-07-28T17:00:00+0000,158,264,655,56,1761,525,241,1859,2629,174,168,20,225,64,185,224,9208
2020-07-29T17:00:00+0000,158,264,655,56,1762,525,241,1859,2629,174,168,20,225,64,185,224,9209
2020-07-30T17:00:00+0000,158,264,656,56,1762,525,241,1859,2630,174,168,20,225,64,186,224,9212
2020-07-31T17:00:00+0000,158,264,656,56,1765,525,241,1859,2630,174,168,20,225,64,186,224,9215
2020-08-01T17:00:00+0000,158,264,656,56,1765,525,241,1859,2630,174,168,20,225,64,186,224,9215
2020-08-02T17:00:00+0000,158,264,656,56,1765,525,241,1859,2630,174,168,20,225,64,186,224,9215
2020-08-03T17:00:00+0000,158,264,656,56,1768,526,241,1859,2631,174,168,20,225,64,186,224,9220
2020-08-04T17:00:00+0000,158,264,656,56,1770,526,241,1859,2631,174,169,20,225,64,186,224,9223
2020-08-05T17:00:00+0000,158,264,656,56,1771,526,241,1859,2631,174,169,20,225,64,186,224,9224
2020-08-06T17:00:00+0000,158,264,656,56,1773,526,241,1859,2631,174,169,20,225,64,186,224,9226
2020-08-07T17:00:00+0000,158,264,656,56,1774,526,241,1859,2631,174,169,20,225,64,186,224,9227
2020-08-08T17:00:00+0000,158,264,656,56,1774,526,242,1859,2631,174,169,20,225,64,186,224,9228
2020-08-09T17:00:00+0000,158,264,656,56,1775,526,242,1859,2631,174,169,20,225,64,186,224,9229
2020-08-10T17:00:00+0000,158,264,656,56,1776,526,242,1859,2631,174,169,20,225,64,186,224,9230
2020-08-11T17:00:00+0000,158,264,656,56,1776,526,242,1859,2631,174,169,20,225,64,186,224,9230
2020-08-12T17:00:00+0000,158,264,656,56,1778,526,242,1859,2631,174,169,20,225,64,186,224,9232
2020-08-13T17:00:00+0000,158,264,656,56,1778,526,242,1859,2631,174,169,20,225,64,186,224,9232
2020-08-14T17:00:00+0000,158,264,656,56,1778,526,242,1859,2631,174,169,20,225,64,186,224,9232
2020-08-15T17:00:00+0000,158,264,656,56,1778,526,242,1859,2631,174,169,20,225,64,186,224,9232
